測定条件: 1920x1080 / 画角 60 度 / 内装マスク = コックピット段の culling mask を空にした絵との差分

場面	補助光	内装の画素	平均輝度	中央値	真っ黒(0-2)	最小	最大
cockpit-view	OFF	669192	17.50	13.52	8.3%	0	180
cockpit-view	ON (既定)	669192	20.94	18.72	5.9%	0	208
cockpit-view	既定の強度で変わった画素	内装 371126	**内装の外 5567 (最大差 35)**	-	-	-	-
cockpit-view	漏れ検査 (強度 50 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
cockpit-view	漏れ検査 (強度 50 / 範囲 1e6 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
cockpit-view	対照 (mask を外す / 強度 50 / 範囲 1e6)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
earth-close-terminator	OFF	666406	21.11	13.59	8.9%	0	215
earth-close-terminator	ON (既定)	666406	24.43	19.09	6.3%	0	215
earth-close-terminator	既定の強度で変わった画素	内装 365885	**内装の外 5201 (最大差 35)**	-	-	-	-
earth-close-terminator	漏れ検査 (強度 50 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
earth-close-terminator	漏れ検査 (強度 50 / 範囲 1e6 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
earth-close-terminator	対照 (mask を外す / 強度 50 / 範囲 1e6)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
earth-close-night	OFF	659147	17.38	13.21	8.1%	0	215
earth-close-night	ON (既定)	659147	20.86	18.36	5.7%	0	215
earth-close-night	既定の強度で変わった画素	内装 371202	**内装の外 4385 (最大差 41)**	-	-	-	-
earth-close-night	漏れ検査 (強度 50 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
earth-close-night	漏れ検査 (強度 50 / 範囲 1e6 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
earth-close-night	対照 (mask を外す / 強度 50 / 範囲 1e6)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
sun-hidden	OFF	659147	17.38	13.21	8.1%	0	215
sun-hidden	ON (既定)	659147	20.86	18.36	5.7%	0	215
sun-hidden	既定の強度で変わった画素	内装 371202	**内装の外 4385 (最大差 41)**	-	-	-	-
sun-hidden	漏れ検査 (強度 50 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
sun-hidden	漏れ検査 (強度 50 / 範囲 1e6 / 内装を描かずに比較)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
sun-hidden	対照 (mask を外す / 強度 50 / 範囲 1e6)	-	-	-	**変化した画素 0 / 最大差 0**	-	-
