面	RT	円の外接(画素)	比	橙の画素数
CockpitEquipments_Screen-2	1024x544	381x381	1.000	1214
CockpitEquipments_Screen-1	1024x544	381x381	1.000	1214
CockpitEquipments_HUD-2	512x512	359x359	1.000	1132
CockpitEquipments_Gauge2-Screen	512x512	359x359	1.000	1132
CockpitEquipments_Gauge1-Screen	256x256	181x181	1.000	582

船を回したときの RT の変化 (CockpitEquipments_Screen-2)
回した角度	中心からの距離	変わった画素	最大の差	円の外接
   0.0 度	        52 unit	       0	     0	381x381 @ (322,82)
   0.5 度	        52 unit	       0	     0	381x381 @ (322,82)
   5.0 度	        52 unit	       0	     0	381x381 @ (322,82)
  30.0 度	        52 unit	       0	     0	381x381 @ (322,82)
  90.0 度	        52 unit	       0	     0	381x381 @ (322,82)
